,Name,Brand,Model,Manafacture Year,Color,Mileage,Price,Location,Listing Date
5832,Mini Country man 2023,Mini,Country man,2023,Silver,220000,2300000,Tagamo3 - New Cairo,27/02/2024
5833,Mini Mini Cooper S 2009,Mini,Mini Cooper S,2009,Cyan,1750000,780000,Gharbia,26/02/2024
5834,Mini Mini Cooper S 2008,Mini,Mini Cooper S,2008,Blue,2100000,750000,Mokattam,26/02/2024
5835,Mini Mini Cooper S 2010,Mini,Mini Cooper S,2010,Black,1450000,870000,El Mahalla,23/02/2024
5836,Mini Cooper 2008,Mini,Cooper,2008,Dark blue,1260000,470000,New Administrative Capital,21/02/2024
5837,Mini Cooper 2023,Mini,Cooper,2023,Gold,8000,2450000,Maadi,15/02/2024
5838,Mini Cooper 2018,Mini,Cooper,2018,Blue,900000,1375000,Heliopolis,26/01/2024
5839,Mini Cooper 2005,Mini,Cooper,2005,Black,2600000,480000,Suez,23/01/2024
5840,Mini Cooper 2009,Mini,Cooper,2009,Silver,1880000,850000,Alexandria,18/05/2024
5841,Mini John Cooper 2003,Mini,John Cooper,2003,Black,1800000,480000,Alexandria,12/05/2024
5842,Mini Mini Cooper S 2003,Mini,Mini Cooper S,2003,Gray,2000000,580000,Tagamo3 - New Cairo,10/05/2024
5843,Mini Cooper F55 2015,Mini,Cooper F55,2015,Silver,850000,1500000,Heliopolis,01/05/2024
5844,Mini Mini Cooper S 2009,Mini,Mini Cooper S,2009,Red,1200000,750000,Qalyubia,30/04/2024
5845,Mini Mini Cooper S 2008,Mini,Mini Cooper S,2008,Dark grey,1450000,500000,Sheraton,29/04/2024
5846,Mini Cooper 2013,Mini,Cooper,2013,Blue,860000,875000,Mohandessin,22/04/2024
5847,Mini Country man 2013,Mini,Country man,2013,Dark green,1430000,1300000,Ismailia,19/04/2024
5848,Mini Country man 2015,Mini,Country man,2015,Silver,1300000,1500000,Cairo,12/04/2024
5849,Mini Mini Cooper S 2012,Mini,Mini Cooper S,2012,Silver,1690000,780000,Heliopolis,11/04/2024
5850,Mini Country man 2023,Mini,Country man,2023,Silver,100000,2350000,Cairo,05/04/2024
